journey,trajet,1
one way ticket,aller simple,1
round trip ticket,aller-retour,1
public transportation,transports en commmun,1
platform,quai,1
track,voie (de chemin de fer),1
announcement,annonce,1
board,tableau d'affichage,1
cab,taxi,1
traffic jam,embouteillage,1
rush hour,heure de pointe,1
lane,voie (sur route),1
toll,péage,1
trade show,salon professionnel,1
suburb,banlieue,1
to catch,attraper,1
to miss,manquer,1
to hail,héler,1
carpool,covoiturage,1
to commute,faire le trajet maison-travail,1
guest,client,2
lobby,hall d'entrée,2
front desk,reception,2
rate,tarif,2
included,compris,2
porter,bagagiste,2
elevator,ascenseur,2
keycard,clé magnétique,2
room service,service de chambre,2
housekeeper,gouvernante,2
towel,serviette,2
blanket,couverture,2
pillow,oreiller,2
amenities,aménagements,2
convenient,pratique,2
view,vue,2
shuttle,navette,2
to book,réserver,2
to vacate,quitter,2
to check out,régler sa note,2
